Ad Name,Campaign,Format,Spend (CAD),Impressions,Reach,Clicks,CTR (%),Avg CPM (CAD),Avg CPC (CAD)
EN16,EN_ADSET_1,Image,82770.49,6617554,3012855,24787.0,0.37,8.52,2.24
CP,EN_ADSET_1,Image,14835.61,946870,529565,3446.0,0.36,6.12,2.08
UH,EN_ADSET_1,Video,14207.49,628376,340158,2783.0,0.44,8.04,1.43
FR3,FR_ADSET_3,Image,12629.73,676025,334260,3963.0,0.59,18.47,3.31
IQP,EN_ADSET_1,Image,10454.49,459442,231844,2398.0,0.52,19.15,3.46
FR1,FR_ADSET_1,Image,9932.29,700623,276547,3259.0,0.47,12.12,2.09
EN17,EN_ADSET_1,Image,8411.02,418570,247317,1745.0,0.42,15.2,3.59
EN28,EN_ADSET_5,Image,7225.7,619914,311900,2533.0,0.41,13.02,2.97
EN37,EN_ADSET_8,Image,5818.45,182700,113248,1538.0,0.84,24.61,3.69
EN19,EN_ADSET_2,Image,4846.39,285862,174653,1226.0,0.43,8.46,1.89
HS,EN_ADSET_1,Image,4725.04,313762,190559,1079.0,0.34,4.76,1.25
CS,EN_ADSET_1,Image,4582.79,268662,171317,1065.0,0.4,3.95,0.86
EN4,EN_ADSET_1,Image,3181.41,132651,74086,661.0,0.5,9.82,1.99
IQL,EN_ADSET_1,Image,3099.32,141925,74873,811.0,0.57,20.27,2.95
EN10,EN_ADSET_1,Image,2996.15,135263,83226,608.0,0.45,5.21,1.22
EN26,EN_ADSET_5,Video,2825.72,209906,134905,1069.0,0.51,13.52,2.65
FR2,FR_ADSET_2,Image,2628.2,170931,97859,791.0,0.46,11.52,2.46
FR5,FR_ADSET_5,Image,2517.17,141811,85777,644.0,0.45,12.11,2.47
EN35,EN_ADSET_8,Image,2162.83,78259,54806,583.0,0.74,26.31,3.76
FR11,FR_ADSET_7,Image,2128.4,96895,59967,747.0,0.77,21.38,2.77
FR15,FR_ADSET_5,Image,2063.1,138355,83940,507.0,0.37,7.46,2.03
EN36,EN_ADSET_8,Image,2010.78,78762,56230,422.0,0.54,20.47,3.52
NIE,EN_ADSET_1,Image,1966.92,78886,51256,477.0,0.6,12.66,2.38
EN38,EN_ADSET_8,Image,1891.97,90202,53895,447.0,0.5,12.15,3.5
EN8,EN_ADSET_1,Image,1703.47,87167,54622,306.0,0.35,14.31,3.11
EN21,EN_ADSET_3,Image,1274.13,57660,35406,320.0,0.55,12.65,1.63
EN1,EN_ADSET_1,Image,1255.22,47546,29956,319.0,0.67,19.59,2.71
FR4,FR_ADSET_4,Image,1182.74,68515,38348,326.0,0.48,11.51,2.42
EN18,EN_ADSET_2,Image,1130.87,55165,37871,229.0,0.42,6.83,1.65
EN7,EN_ADSET_1,Image,999.12,56084,28251,222.0,0.4,14.6,3.02
EN34,EN_ADSET_8,Image,970.39,37907,24155,352.0,0.93,22.58,4.51
FR13,FR_ADSET_7,Image,927.48,44856,29265,284.0,0.63,20.38,3.53
EN29,EN_ADSET_6,Image,919.72,56992,39355,208.0,0.36,16.25,4.43
EN6,EN_ADSET_1,Image,838.65,40632,27020,372.0,0.92,19.86,2.39
EN30,EN_ADSET_6,Image,713.06,31651,20032,156.0,0.49,10.89,2.3
FR12,FR_ADSET_7,Image,698.95,24076,12506,150.0,0.62,27.79,4.4
EN12,EN_ADSET_1,Image,659.46,21228,15071,142.0,0.67,7.97,1.37
EN66,EN_ADSET_15,Image,590.6,23600,15846,167.0,0.71,24.69,3.8
EN64,EN_ADSET_15,Image,557.36,23495,13891,172.0,0.73,23.41,3.28
EN65,EN_ADSET_15,Image,548.07,21968,12268,120.0,0.55,21.79,3.03
EN11,EN_ADSET_1,Image,500.49,21919,15183,128.0,0.58,11.87,1.53
EN31,EN_ADSET_7,Image,465.73,36387,22168,137.0,0.38,14.27,3.49
FR14,FR_ADSET_5,Image,461.57,25794,14997,115.0,0.45,8.95,2.01
FR23,FR_ADSET_8,Image,358.37,20170,11787,95.0,0.47,17.77,3.77
EN40,EN_ADSET_8,Image,353.67,16087,11350,83.0,0.52,20.94,4.44
EN9,EN_ADSET_1,Image,347.45,26286,14285,92.0,0.35,2.75,0.23
EN32,EN_ADSET_7,Image,304.75,17183,11350,66.0,0.38,19.53,4.98
EN42,EN_ADSET_8,Image,295.31,22549,11180,73.0,0.32,2.89,0.95
EN27,EN_ADSET_5,Video,294.87,10351,5655,74.0,0.71,22.11,3.1
FR17,FR_ADSET_6,Image,278.97,20392,10870,68.0,0.33,6.84,2.05
FR24,FR_ADSET_8,Image,254.9,12708,7677,56.0,0.44,20.06,4.55
FR22,FR_ADSET_8,Image,247.7,13787,8218,85.0,0.62,17.97,2.91
EN33,EN_ADSET_5,Image,229.51,11386,7092,62.0,0.54,20.37,3.62
FR28,FR_ADSET_9,Image,193.3,10551,6236,55.0,0.52,18.32,3.51
EN61,EN_ADSET_11,Image,171.89,6560,4397,54.0,0.82,23.82,2.66
EN62,EN_ADSET_11,Image,127.62,5294,4037,41.0,0.77,24.98,3.69
EN46,EN_ADSET_9,Image,117.15,6513,5438,21.0,0.32,4.27,0.96
FR10,FR_ADSET_7,Image,96.76,4086,2651,18.0,0.44,23.12,5.22
EN22,EN_ADSET_4,Image,94.63,6516,4648,23.0,0.35,10.55,1.59
FR18,FR_ADSET_6,Image,75.99,3819,2384,12.0,0.31,9.95,3.17
FR6,FR_ADSET_6,Image,64.78,3461,2132,12.0,0.35,17.28,1.74
EN44,EN_ADSET_8,Image,63.86,4555,3209,13.0,0.29,0.61,0.21
FR7,FR_ADSET_6,Image,53.21,3609,2254,16.0,0.44,19.53,1.2
FR16,FR_ADSET_6,Image,49.02,2687,1855,13.0,0.48,9.12,1.89
EN25,EN_ADSET_4,Image,48.92,3812,2755,3.0,0.08,6.96,4.07
EN60,EN_ADSET_15,Image,44.37,1314,1074,5.0,0.38,27.93,5.77
FR25,FR_ADSET_8,Image,38.85,1651,1011,22.0,1.33,23.53,1.77
EN56,EN_ADSET_13,Image,35.11,1865,1526,15.0,0.8,27.83,6.74
EN55,EN_ADSET_12,Image,33.88,1907,1621,9.0,0.47,9.9,0.85
EN63,EN_ADSET_11,Image,20.21,1037,715,3.0,0.29,22.26,3.0
FR27,FR_ADSET_9,Image,17.17,575,354,5.0,0.87,29.86,3.43
FR8,FR_ADSET_6,Image,16.31,913,452,10.0,1.1,21.01,1.04
FR26,FR_ADSET_9,Image,15.17,801,479,8.0,1.0,18.94,1.9
EN50,EN_ADSET_11,Image,11.52,546,449,3.0,0.55,24.35,1.22
EN51,EN_ADSET_11,Image,10.84,503,440,0.0,0.0,20.66,0.0
EN24,EN_ADSET_4,Image,7.44,348,279,3.0,0.86,12.84,0.62
FR9,FR_ADSET_6,Image,7.21,478,238,6.0,1.26,14.92,0.69
EN23,EN_ADSET_4,Image,5.94,411,345,2.0,0.49,12.34,0.73
QV,EN_ADSET_9,Video,4.65,335,246,7.0,2.09,1.28,0.02
EN39,EN_ADSET_8,Image,1.65,103,97,0.0,0.0,0.84,0.0
EN41,EN_ADSET_8,Image,0.0,0,0,0.0,,0.0,0.0
EN15,EN_ADSET_1,Video,0.0,0,0,0.0,,0.0,0.0
EN3,EN_ADSET_1,Image,0.0,0,0,0.0,,0.0,0.0
EN20,EN_ADSET_2,Image,0.0,0,0,0.0,,0.0,0.0
EN2,EN_ADSET_1,Video,0.0,0,0,0.0,,0.0,0.0
EN13,EN_ADSET_1,Image,0.0,0,0,0.0,,0.0,0.0
EN14,EN_ADSET_1,Image,0.0,0,0,0.0,,0.0,0.0
EN58,ADSET_1,Image,0.0,0,0,0.0,,0.0,0.0
EN59,ADSET_2,Image,0.0,0,0,0.0,,0.0,0.0
EN48,EN_ADSET_10,Image,0.0,0,0,0.0,,0.0,0.0
EN47,EN_ADSET_10,Image,0.0,0,0,0.0,,0.0,0.0
EN53,EN_ADSET_12,Image,0.0,0,0,0.0,,0.0,0.0
EN52,EN_ADSET_12,Image,0.0,0,0,0.0,,0.0,0.0
EN43,EN_ADSET_8,Image,0.0,0,0,0.0,,0.0,0.0
EN45,EN_ADSET_9,Video,0.0,0,0,0.0,,0.0,0.0
EN5,EN_ADSET_1,Image,0.0,0,0,0.0,,0.0,0.0
EN49,EN_ADSET_8,Image,0.0,0,0,0.0,,0.0,0.0
EN54,EN_ADSET_12,Image,0.0,0,0,0.0,,0.0,0.0
EN57,EN_ADSET_14,Image,0.0,0,0,0.0,,0.0,0.0
FR20,FR_ADSET_6,Image,0.0,0,0,0.0,,0.0,0.0
FR21,FR_ADSET_6,Image,0.0,0,0,0.0,,0.0,0.0
FR19,FR_ADSET_6,Image,0.0,0,0,0.0,,0.0,0.0
NIP,EN_ADSET_14,Image,0.0,0,0,0.0,,0.0,0.0
